food_en,food_ja,source_id,direction,quote,condition,sublabel
kasujiru with salmon and root vegetables,鮭と根菜の粕汁,attaka_navi,warm,北陸や東北で昔から冬の定番とされてきた温活メニューです。,,dish
kimchi,キムチ,attaka_navi,warm,"温める食材：
味噌、納豆、キムチ、醤油、酒粕、日本酒、紹興酒",,
kimchi hot pot,キムチ鍋,attaka_navi,warm,温活食材が勢ぞろいする最強の鍋です。,,dish
kimchi-based hot pot,キムチベース,attaka_navi,warm,味噌ベース、キムチベース、酒粕ベースの鍋は、発酵食品の温め効果がプラスされます。,,dish
lamb,羊肉,attaka_navi,warm,特に羊肉（ラム）は体を温める効果が非常に高い肉類です。,,
lettuce,レタス,attaka_navi,cool,"冷やす食材：
きゅうり、トマト、なす、レタス、白菜、大根、ゴボウ、セロリ",,
lotus root,れんこん,attaka_navi,warm,"温める食材：
生姜、にんにく、長ねぎ、にら、かぶ、にんじん、かぼちゃ、れんこん、しそ",,
mango,マンゴー,attaka_navi,cool,"冷やす食材：
バナナ、パイナップル、マンゴー、梨、柿、スイカ",,
mayonnaise,マヨネーズ,attaka_navi,cool,"冷やす食材：
酢、マヨネーズ、白砂糖",,
miso,味噌,attaka_navi,warm,"温める食材：
味噌、納豆、キムチ、醤油、酒粕、日本酒、紹興酒",,
miso soup with ginger,生姜たっぷりの味噌汁,attaka_navi,warm,毎朝の習慣として最も取り入れやすい温活メニューです。,,dish
miso-based hot pot,味噌ベース,attaka_navi,warm,味噌ベース、キムチベース、酒粕ベースの鍋は、発酵食品の温め効果がプラスされます。,,dish
mizuna,水菜,attaka_navi,cool,白菜、大根、豆腐、もやし、水菜…。鍋の定番具材ですが、薬膳的にはすべて「涼性〜寒性」の食材です。,,
mushroom,きのこ類,attaka_navi,neutral,"どちらでもない：
じゃがいも、さつまいも、長いも、とうもろこし、きのこ類",,category
nagaimo,長いも,attaka_navi,neutral,"どちらでもない：
じゃがいも、さつまいも、長いも、とうもろこし、きのこ類",,
natto,納豆,attaka_navi,warm,"納豆
（大豆を発酵） → 温性（体を温める）",,
nira,にら,attaka_navi,warm,"温める食材：
生姜、にんにく、長ねぎ、にら、かぶ、にんじん、かぼちゃ、れんこん、しそ",,
octopus,タコ,attaka_navi,cool,"冷やす食材：
タコ、カニ、アサリ、牡蠣",,
oyster,牡蠣,attaka_navi,cool,"冷やす食材：
タコ、カニ、アサリ、牡蠣",,
peach,桃,attaka_navi,warm,"温める食材：
りんご、ぶどう、さくらんぼ、桃、プルーン、栗、くるみ、松の実",,
pear,梨,attaka_navi,cool,"冷やす食材：
バナナ、パイナップル、マンゴー、梨、柿、スイカ",,
perilla,しそ,attaka_navi,warm,"温める食材：
生姜、にんにく、長ねぎ、にら、かぶ、にんじん、かぼちゃ、れんこん、しそ",,
persimmon,柿,attaka_navi,cool,"冷やす食材：
バナナ、パイナップル、マンゴー、梨、柿、スイカ",生,
pine nut,松の実,attaka_navi,warm,"温める食材：
りんご、ぶどう、さくらんぼ、桃、プルーン、栗、くるみ、松の実",,
pineapple,パイナップル,attaka_navi,cool,"冷やす食材：
バナナ、パイナップル、マンゴー、梨、柿、スイカ",,
pork,豚肉,attaka_navi,neutral,"どちらでもない：
豚肉、牛肉、イカ、卵",,
pork liver,レバー,attaka_navi,warm,"温める食材：
鶏肉、羊肉（ラム）、鮭、ブリ、マグロ、エビ、レバー",,
potato,じゃがいも,attaka_navi,neutral,— 温めも冷やしもしない（米、大豆、じゃがいも、卵など）,,
prune,プルーン,attaka_navi,warm,"温める食材：
りんご、ぶどう、さくらんぼ、桃、プルーン、栗、くるみ、松の実",,
pumpkin,かぼちゃ,attaka_navi,warm,"温める食材：
生姜、にんにく、長ねぎ、にら、かぶ、にんじん、かぼちゃ、れんこん、しそ",,
raw vegetables,生野菜,attaka_navi,cool,生野菜は体を冷やす食材が多く、しかも生のまま食べると冷えやすくなります。温活中はサラダよりも温野菜や蒸し野菜にするのがおすすめです。,,category
red meat and fish,赤身肉,attaka_navi,warm,"3. 暖色系の色をしているもの
赤やオレンジ、黄色など暖色系の食材は体を温める傾向があります。にんじん、かぼちゃ、鮭、エビ、赤身肉などが該当します。",,category
root vegetables,根菜,attaka_navi,warm,具材にはにんじんやかぶなどの温性の根菜を入れると、さらに効果的です。,,category
sake,日本酒,attaka_navi,warm,"温める食材：
味噌、納豆、キムチ、醤油、酒粕、日本酒、紹興酒",,
sake lees,酒粕,attaka_navi,warm,"温める食材：
味噌、納豆、キムチ、醤油、酒粕、日本酒、紹興酒",,
sake lees-based hot pot,酒粕ベース,attaka_navi,warm,味噌ベース、キムチベース、酒粕ベースの鍋は、発酵食品の温め効果がプラスされます。,,dish
salmon,鮭,attaka_navi,warm,"温める食材：
鶏肉、羊肉（ラム）、鮭、ブリ、マグロ、エビ、レバー",,
salt,塩,attaka_navi,neutral,"どちらでもない：
塩、はちみつ",,
sansho,山椒,attaka_navi,warm,— 体を強く温める（唐辛子、シナモン、山椒など）,,
shaoxing wine,紹興酒,attaka_navi,warm,"温める食材：
味噌、納豆、キムチ、醤油、酒粕、日本酒、紹興酒",,
shrimp,エビ,attaka_navi,warm,— 体を穏やかに温める（生姜、にんにく、ねぎ、鶏肉、エビなど）,,
soy products,大豆製品,attaka_navi,warm,鶏肉、魚、卵、大豆製品などを積極的に摂ることで、「食べるだけで温まる体」を目指せます。,,category
soy sauce,醤油,attaka_navi,warm,"温める食材：
味噌、納豆、キムチ、醤油、酒粕、日本酒、紹興酒",,
soybean,大豆,attaka_navi,neutral,— 温めも冷やしもしない（米、大豆、じゃがいも、卵など）,,
spinach,ほうれん草,attaka_navi,cool,— 体を穏やかに冷やす（大根、白菜、ほうれん草など）,,
squid,イカ,attaka_navi,neutral,"どちらでもない：
豚肉、牛肉、イカ、卵",,
sweet potato,さつまいも,attaka_navi,neutral,"どちらでもない：
じゃがいも、さつまいも、長いも、とうもろこし、きのこ類",,
tofu,豆腐,attaka_navi,cool,"豆腐
（大豆を加工） → 寒性（体を冷やす）",,
tomato,トマト,attaka_navi,cool,— 体を強く冷やす（きゅうり、トマト、スイカ、バナナなど）,,
tropical fruit,南国フルーツ,attaka_navi,cool,バナナ、パイナップル、マンゴーなどの南国フルーツは体を冷やす性質が強いです。,,category
tuna,マグロ,attaka_navi,warm,"温める食材：
鶏肉、羊肉（ラム）、鮭、ブリ、マグロ、エビ、レバー",,
turnip,かぶ,attaka_navi,warm,"温める食材：
生姜、にんにく、長ねぎ、にら、かぶ、にんじん、かぼちゃ、れんこん、しそ",,
vinegar,酢,attaka_navi,cool,"冷やす食材：
酢、マヨネーズ、白砂糖",,
walnut,くるみ,attaka_navi,warm,"温める食材：
りんご、ぶどう、さくらんぼ、桃、プルーン、栗、くるみ、松の実",,
watermelon,スイカ,attaka_navi,cool,— 体を強く冷やす（きゅうり、トマト、スイカ、バナナなど）,,
white rice,米,attaka_navi,neutral,— 温めも冷やしもしない（米、大豆、じゃがいも、卵など）,,
white sugar,白砂糖,attaka_navi,cool,白砂糖は体を冷やす性質があるとされています。,,
yellowtail,ブリ,attaka_navi,warm,"温める食材：
鶏肉、羊肉（ラム）、鮭、ブリ、マグロ、エビ、レバー",,
apple,リンゴ,basefood,warm,"リンゴやブドウ、プルーンなど、冬が旬のもの
が体を冷やしにくく温活中にもおすすめです。",,
aromatics,薬味,basefood,warm,スパイスや薬味は温活と相性のよい食材です,,category
banana,バナナ,basefood,cool,またドライフルーツは水分量が少なく栄養が凝縮されているため、生の果物に比べて体を冷やしにくい特徴があります。一方、バナナやマンゴー、パイナップルなどの南国系フルーツは水分が多く、体の熱を落ち着かせる性質があるため、冷えが気になるときは控えましょう。,,
beef,牛肉,basefood,warm,たんぱく質は熱産生を支える中心的な栄養素であり、温活を支える土台となります,,
black tea,紅茶,basefood,warm,"とくに紅茶やウーロン茶のような発酵茶は体を温めやすい性質
があります。",,
bonito,カツオ,basefood,warm,たんぱく質は熱産生を支える中心的な栄養素であり、温活を支える土台となります,,
burdock,ゴボウ,basefood,warm,地中で育つ根菜類は、一般的に、冬の寒い時期に旬を迎えるものや色が濃いものは、体を温める性質が強いとされています。,,
carrot,ニンジン,basefood,warm,地中で育つ根菜類は、一般的に、冬の寒い時期に旬を迎えるものや色が濃いものは、体を温める性質が強いとされています。,,
chicken,鶏肉,basefood,warm,たんぱく質は熱産生を支える中心的な栄養素であり、温活を支える土台となります,,
chili pepper,唐辛子,basefood,warm,発汗や一時的な体温上昇を促し,,
cinnamon,シナモン,basefood,warm,日常的な温活をサポート,,
cocoa,ココア,basefood,warm,飲み物の選び方も、温活を進めるうえで大切なポイントです。温活向きの飲み物には、ほうじ茶や紅茶、ウーロン茶、ココア、生姜湯などがあります。,,
coffee,コーヒー,basefood,cool,温活で控えた方がよい飲み物は、コーヒーや緑茶、麦茶などです。体を冷やしやすい側面があるため、常温や温かい状態で飲む、シナモンや生姜を加えるなどの工夫を取り入れることがおすすめです。,,
dried fruit,ドライフルーツ,basefood,warm,またドライフルーツは水分量が少なく栄養が凝縮されているため、生の果物に比べて体を冷やしにくい特徴があります。一方、バナナやマンゴー、パイナップルなどの南国系フルーツは水分が多く、体の熱を落ち着かせる性質があるため、冷えが気になるときは控えましょう。,,category
egg,卵,basefood,warm,たんぱく質は熱産生を支える中心的な栄養素であり、温活を支える土台となります,,
fermented foods,発酵食品,basefood,warm,発酵食品である味噌は体温維持に役立ち,,category
fish,魚,basefood,warm,さらに、主食だけで済ませず、肉・魚・卵・大豆製品などのたんぱく質源を組みあわせることも大切です。,,category
garlic,ニンニク,basefood,warm,スパイスや薬味は温活と相性のよい食材です,,
ginger,生姜,basefood,warm,体の深部から温まりやすくなる,,
grape,ブドウ,basefood,warm,"リンゴやブドウ、プルーンなど、冬が旬のもの
が体を冷やしにくく温活中にもおすすめです。",,
green onion,ねぎ,basefood,warm,風味を楽しみながら温活効果も高められます,,
green tea,緑茶,basefood,cool,温活で控えた方がよい飲み物は、コーヒーや緑茶、麦茶などです。体を冷やしやすい側面があるため、常温や温かい状態で飲む、シナモンや生姜を加えるなどの工夫を取り入れることがおすすめです。,,
grilled banana,焼きバナナ,basefood,warm,温活を意識する場合は、焼きバナナのように加熱して取り入れる方法もおすすめです。,,dish
hojicha,ほうじ茶,basefood,warm,飲み物の選び方も、温活を進めるうえで大切なポイントです。温活向きの飲み物には、ほうじ茶や紅茶、ウーロン茶、ココア、生姜湯などがあります。,,
kimchi,キムチ,basefood,warm,効率的に体を温める代表的な食べ物を紹介,,
lotus root,れんこん,basefood,warm,地中で育つ根菜類は、一般的に、冬の寒い時期に旬を迎えるものや色が濃いものは、体を温める性質が強いとされています。,,
mango,マンゴー,basefood,cool,またドライフルーツは水分量が少なく栄養が凝縮されているため、生の果物に比べて体を冷やしにくい特徴があります。一方、バナナやマンゴー、パイナップルなどの南国系フルーツは水分が多く、体の熱を落ち着かせる性質があるため、冷えが気になるときは控えましょう。,,
meat,肉,basefood,warm,さらに、主食だけで済ませず、肉・魚・卵・大豆製品などのたんぱく質源を組みあわせることも大切です。,,category
miso,味噌,basefood,warm,熟成期間の長い赤味噌はとくに温活に適している,,
miso soup,味噌汁,basefood,warm,味噌汁やスパイスの効いた料理がおすすめ,,dish
mugicha,麦茶,basefood,cool,温活で控えた方がよい飲み物は、コーヒーや緑茶、麦茶などです。体を冷やしやすい側面があるため、常温や温かい状態で飲む、シナモンや生姜を加えるなどの工夫を取り入れることがおすすめです。,,
natto,納豆,basefood,warm,効率的に体を温める代表的な食べ物を紹介,,
oolong tea,ウーロン茶,basefood,warm,"とくに紅茶やウーロン茶のような発酵茶は体を温めやすい性質
があります。",,
pineapple,パイナップル,basefood,cool,またドライフルーツは水分量が少なく栄養が凝縮されているため、生の果物に比べて体を冷やしにくい特徴があります。一方、バナナやマンゴー、パイナップルなどの南国系フルーツは水分が多く、体の熱を落ち着かせる性質があるため、冷えが気になるときは控えましょう。,,
pork,豚肉,basefood,warm,豚肉はたんぱく質とビタミンB1を含み、温活に役立つ食べ物,,
pork miso soup,豚汁,basefood,warm,コンビニで買える温活メニューは、豚汁やおでんなどがおすすめ,,dish
potato,ジャガイモ,basefood,warm,地中で育つ根菜類は、一般的に、冬の寒い時期に旬を迎えるものや色が濃いものは、体を温める性質が強いとされています。,,
prune,プルーン,basefood,warm,"リンゴやブドウ、プルーンなど、冬が旬のもの
が体を冷やしにくく温活中にもおすすめです。",,
pumpkin,カボチャ,basefood,warm,地中で育つ根菜類は、一般的に、冬の寒い時期に旬を迎えるものや色が濃いものは、体を温める性質が強いとされています。,,
raw vegetables,生野菜,basefood,cool,生野菜を過剰に摂る習慣も、水分量の多さから体温低下を招きやすくなるため、加熱調理を取り入れる工夫が、温活を進めるうえで効果的です。,,category
root vegetables,根菜,basefood,warm,根菜や発酵食品、スパイスを組みあわせた食事は、巡りを整え体温維持に役立ちます,,category
salmon,鮭,basefood,warm,鮭の豊富なたんぱく質が体の熱産生を支え,,
soy products,大豆製品,basefood,warm,たんぱく質は熱産生を支える中心的な栄養素であり、温活を支える土台となります,,category
spices,香辛料,basefood,warm,さらに生姜や唐辛子などの香辛料を加えると、体の内側から温まりやすくなります。,,category
taro,サトイモ,basefood,warm,地中で育つ根菜類は、一般的に、冬の寒い時期に旬を迎えるものや色が濃いものは、体を温める性質が強いとされています。,,
tropical fruits,南国系フルーツ,basefood,cool,またドライフルーツは水分量が少なく栄養が凝縮されているため、生の果物に比べて体を冷やしにくい特徴があります。一方、バナナやマンゴー、パイナップルなどの南国系フルーツは水分が多く、体の熱を落ち着かせる性質があるため、冷えが気になるときは控えましょう。,,category
tuna,マグロ,basefood,warm,たんぱく質は熱産生を支える中心的な栄養素であり、温活を支える土台となります,,
vegetables,野菜,basefood,warm,冬が旬の野菜は体を温める効果が期待できるものが多いため,,category
white sugar,白砂糖,basefood,cool,とくに白砂糖は血糖値の急激な上昇を招きやすく、その後の変動によって自律神経が乱れやすくなり、冷えを感じやすくなる場合があります。,,
apple,リンゴ,esse,warm,リンゴ,,
banana,バナナ,esse,cool,果物：バナナ、パイナップル、マンゴー、キウイ、メロン、グレープフルーツ,,
bean sprouts,モヤシ,esse,cool,モヤシ,,
beer,ビール,esse,cool,ビール,,
black tea,紅茶,esse,warm,紅茶,,
brown rice,玄米,esse,warm,玄米,,
brown sugar,黒砂糖,esse,warm,黒砂糖,,
buckwheat,そば,esse,warm,そば,,
burdock,ゴボウ,esse,warm,ゴボウ,,
carrot,ニンジン,esse,warm,ニンジン,,
cherry,サクランボ,esse,warm,サクランボ,,
cocoa,ココア,esse,warm,ココア,,
coffee,コーヒー,esse,cool,コーヒー,,
cucumber,キュウリ,esse,cool,キュウリ,,
eggplant,ナス,esse,cool,ナス,,
fatty meat,脂身,esse,cool,脂身,,
grape,ブドウ,esse,warm,ブドウ,,
grapefruit,グレープフルーツ,esse,cool,果物：バナナ、パイナップル、マンゴー、キウイ、メロン、グレープフルーツ,,
green tea,緑茶,esse,cool,飲み物：緑茶、コーヒー、牛乳、ビール、白ワイン,,
ketchup,ケチャップ,esse,cool,ケチャップ,,
kiwi,キウイ,esse,cool,果物：バナナ、パイナップル、マンゴー、キウイ、メロン、グレープフルーツ,,
leafy greens,葉野菜,esse,cool,葉野菜,,category
mango,マンゴー,esse,cool,果物：バナナ、パイナップル、マンゴー、キウイ、メロン、グレープフルーツ,,
mayonnaise,マヨネーズ,esse,cool,マヨネーズ,,
melon,メロン,esse,cool,果物：バナナ、パイナップル、マンゴー、キウイ、メロン、グレープフルーツ,,
milk,牛乳,esse,cool,牛乳,,
miso,みそ,esse,warm,みそ,,
natto,納豆,esse,warm,納豆,,
octopus,タコ,esse,warm,タコ,,
pasta,パスタ,esse,cool,パスタ,,
pineapple,パイナップル,esse,cool,果物：バナナ、パイナップル、マンゴー、キウイ、メロン、グレープフルーツ,,
prune,プルーン,esse,warm,プルーン,,
pumpkin,カボチャ,esse,warm,カボチャ,,
red meat and fish,赤身,esse,warm,タンパク質：赤身（肉·魚）、エビ、タコ、貝類、小魚、納豆,,category
red wine,赤ワイン,esse,warm,赤ワイン,,
root vegetables,根菜類,esse,warm,根菜類,,category
sake,日本酒,esse,warm,日本酒,,
salt,塩,esse,warm,塩,,
shellfish,貝類,esse,warm,貝類,,category
shrimp,エビ,esse,warm,エビ,,
small fish,小魚,esse,warm,小魚,,category
soy sauce,しょうゆ,esse,warm,しょうゆ,,
tofu,豆腐,esse,cool,豆腐,,
tomato,トマト,esse,cool,トマト,,
udon,うどん,esse,cool,うどん,,
umeboshi,梅干し,esse,warm,梅干し,,
vinegar,酢,esse,cool,酢,,
white bread,白パン,esse,cool,白パン,,
white fish,白身の魚,esse,cool,白身の魚,,category
white rice,白米,esse,cool,白米,,
white sesame,白ゴマ,esse,cool,白ゴマ,,
white sugar,白砂糖,esse,cool,白砂糖,,
white wine,白ワイン,esse,cool,白ワイン,,
whole grain bread,全粒粉パン,esse,warm,全粒粉パン,,
adzuki bean,小豆,gveggie,warm,"秋冬向きの食べ物
穀　物　：　雑穀・もち米・玄米・もち・そば
豆　類　：　ひよこ豆・大豆・小豆・黒豆",autumn-winter,
agar,寒天,gveggie,cool,"春夏向きの食べ物
穀　物 　：　麦類・とうもろこし・キヌア・アマランサス
豆　類　：　レンズ豆　・　大きい豆（いんげん豆・花豆など）
豆の加工品 ：納豆・テンペ　・ゆば・豆腐（冷たい）
海藻 ： わかめ・のり・寒天",spring-summer,
amaranth,アマランサス,gveggie,cool,"春夏向きの食べ物
穀　物 　：　麦類・とうもろこし・キヌア・アマランサス",spring-summer,
arame,あらめ,gveggie,warm,"秋冬向きの食べ物
穀　物　：　雑穀・もち米・玄米・もち・そば
豆　類　：　ひよこ豆・大豆・小豆・黒豆
豆の加工品　：　豆腐（温かい）・おから・高野豆腐
海藻：　あらめ・　ひじき　・　昆布",autumn-winter,
barley,麦類,gveggie,cool,"春夏向きの食べ物
穀　物 　：　麦類・とうもろこし・キヌア・アマランサス",spring-summer,category
black soybean,黒豆,gveggie,warm,"秋冬向きの食べ物
穀　物　：　雑穀・もち米・玄米・もち・そば
豆　類　：　ひよこ豆・大豆・小豆・黒豆",autumn-winter,
brown rice,玄米,gveggie,warm,"秋冬向きの食べ物
穀　物　：　雑穀・もち米・玄米・もち・そば",autumn-winter,
buckwheat,そば,gveggie,warm,"秋冬向きの食べ物
穀　物　：　雑穀・もち米・玄米・もち・そば",autumn-winter,
chickpea,ひよこ豆,gveggie,warm,"秋冬向きの食べ物
穀　物　：　雑穀・もち米・玄米・もち・そば
豆　類　：　ひよこ豆・大豆・小豆・黒豆",autumn-winter,
corn,とうもろこし,gveggie,cool,"春夏向きの食べ物
穀　物 　：　麦類・とうもろこし・キヌア・アマランサス",spring-summer,
edamame,いんげん豆,gveggie,cool,"春夏向きの食べ物
穀　物 　：　麦類・とうもろこし・キヌア・アマランサス
豆　類　：　レンズ豆　・　大きい豆（いんげん豆・花豆など）",spring-summer,
freeze-dried tofu,高野豆腐,gveggie,warm,"秋冬向きの食べ物
穀　物　：　雑穀・もち米・玄米・もち・そば
豆　類　：　ひよこ豆・大豆・小豆・黒豆
豆の加工品　：　豆腐（温かい）・おから・高野豆腐",autumn-winter,
glutinous rice,もち米,gveggie,warm,"秋冬向きの食べ物
穀　物　：　雑穀・もち米・玄米・もち・そば",autumn-winter,
hijiki,ひじき,gveggie,warm,"秋冬向きの食べ物
穀　物　：　雑穀・もち米・玄米・もち・そば
豆　類　：　ひよこ豆・大豆・小豆・黒豆
豆の加工品　：　豆腐（温かい）・おから・高野豆腐
海藻：　あらめ・　ひじき　・　昆布",autumn-winter,
kombu,昆布,gveggie,warm,"秋冬向きの食べ物
穀　物　：　雑穀・もち米・玄米・もち・そば
豆　類　：　ひよこ豆・大豆・小豆・黒豆
豆の加工品　：　豆腐（温かい）・おから・高野豆腐
海藻：　あらめ・　ひじき　・　昆布",autumn-winter,
lentil,レンズ豆,gveggie,cool,"春夏向きの食べ物
穀　物 　：　麦類・とうもろこし・キヌア・アマランサス
豆　類　：　レンズ豆　・　大きい豆（いんげん豆・花豆など）",spring-summer,
mixed grains,雑穀,gveggie,warm,"秋冬向きの食べ物
穀　物　：　雑穀・もち米・玄米・もち・そば",autumn-winter,category
natto,納豆,gveggie,cool,"春夏向きの食べ物
穀　物 　：　麦類・とうもろこし・キヌア・アマランサス
豆　類　：　レンズ豆　・　大きい豆（いんげん豆・花豆など）
豆の加工品 ：納豆・テンペ　・ゆば・豆腐（冷たい）",spring-summer,
nori,のり,gveggie,cool,"春夏向きの食べ物
穀　物 　：　麦類・とうもろこし・キヌア・アマランサス
豆　類　：　レンズ豆　・　大きい豆（いんげん豆・花豆など）
豆の加工品 ：納豆・テンペ　・ゆば・豆腐（冷たい）
海藻 ： わかめ・のり・寒天",spring-summer,
okara,おから,gveggie,warm,"秋冬向きの食べ物
穀　物　：　雑穀・もち米・玄米・もち・そば
豆　類　：　ひよこ豆・大豆・小豆・黒豆
豆の加工品　：　豆腐（温かい）・おから・高野豆腐",autumn-winter,
quinoa,キヌア,gveggie,cool,"春夏向きの食べ物
穀　物 　：　麦類・とうもろこし・キヌア・アマランサス",spring-summer,
rice cake,もち,gveggie,warm,"秋冬向きの食べ物
穀　物　：　雑穀・もち米・玄米・もち・そば",autumn-winter,
runner bean,花豆,gveggie,cool,"春夏向きの食べ物
穀　物 　：　麦類・とうもろこし・キヌア・アマランサス
豆　類　：　レンズ豆　・　大きい豆（いんげん豆・花豆など）",spring-summer,
soybean,大豆,gveggie,warm,"秋冬向きの食べ物
穀　物　：　雑穀・もち米・玄米・もち・そば
豆　類　：　ひよこ豆・大豆・小豆・黒豆",autumn-winter,
tempeh,テンペ,gveggie,cool,"春夏向きの食べ物
穀　物 　：　麦類・とうもろこし・キヌア・アマランサス
豆　類　：　レンズ豆　・　大きい豆（いんげん豆・花豆など）
豆の加工品 ：納豆・テンペ　・ゆば・豆腐（冷たい）",spring-summer,
tofu,豆腐（冷たい）,gveggie,cool,"春夏向きの食べ物
穀　物 　：　麦類・とうもろこし・キヌア・アマランサス
豆　類　：　レンズ豆　・　大きい豆（いんげん豆・花豆など）
豆の加工品 ：納豆・テンペ　・ゆば・豆腐（冷たい）",spring-summer,
tofu,豆腐（温かい）,gveggie,warm,"秋冬向きの食べ物
穀　物　：　雑穀・もち米・玄米・もち・そば
豆　類　：　ひよこ豆・大豆・小豆・黒豆
豆の加工品　：　豆腐（温かい）・おから・高野豆腐",autumn-winter,
wakame,わかめ,gveggie,cool,"春夏向きの食べ物
穀　物 　：　麦類・とうもろこし・キヌア・アマランサス
豆　類　：　レンズ豆　・　大きい豆（いんげん豆・花豆など）
豆の加工品 ：納豆・テンペ　・ゆば・豆腐（冷たい）
海藻 ： わかめ・のり・寒天",spring-summer,
yuba,ゆば,gveggie,cool,"春夏向きの食べ物
穀　物 　：　麦類・とうもろこし・キヌア・アマランサス
豆　類　：　レンズ豆　・　大きい豆（いんげん豆・花豆など）
豆の加工品 ：納豆・テンペ　・ゆば・豆腐（冷たい）",spring-summer,
apple,りんご,hiesyo_com,warm,体を冷やさない果物はりんごや柿,,
bamboo shoot,たけのこ,hiesyo_com,cool,春に延びゆくたけのこや山菜、水分が多いスイカやなしなどの果物も陰性食品です,,
banana,バナナ,hiesyo_com,cool,南の国で穫れるバナナやパイナップルは陰性食品,,
brown rice,玄米,hiesyo_com,neutral,玄米や全粒粉の天然酵母パンなどは中庸です,黒焼き,
brown rice,黒焼き玄米,hiesyo_com,warm,"鉄火味噌や黒焼き梅干し、黒焼き玄米などは
極陽性
です。",黒焼き,
burdock,ごぼう,hiesyo_com,warm,地面に向かって伸びていくごぼうやにんじんは陽性食品,,
carrot,にんじん,hiesyo_com,warm,地面に向かって伸びていくごぼうやにんじんは陽性食品,,
