pmid,food_key,coder1,coder2,adjudicated,sub_label,reason
22956862,chicken,incidental,claim-directed,True,incidental,"condition 2, per the chicken/41901102-42072392 worked example: a framing that presents the perfusion measure as vascular, endothelial or haemodynamic *function* is not naming a thermal outcome, however much the measurement itself qualifies under §2.3; the aim is the anti-photoaging effect of a collagen supplement and dermal microcirculation is its mechanism"
41901102,chicken,incidental,incidental,False,incidental,microvascular reactivity/anti-inflammatory trial in chronic-coronary-syndrome patients; not designed to ask whether chicken warms the body
42072392,chicken,incidental,incidental,False,incidental,endothelium-dependent vasodilation trial in healthy adults; not designed to ask whether chicken warms the body
10211048,chili pepper,claim-directed,claim-directed,False,claim-directed,aim/results center on diet-induced thermogenesis from red pepper added to high-fat/high-carbohydrate meals
11227803,chili pepper,claim-directed,claim-directed,False,claim-directed,"title explicitly names diet-induced thermogenesis (capsaicin-containing curry sauce, SNS activity)"
11242488,chili pepper,incidental,claim-directed,True,incidental,"condition 2: the framing is energy-balance or metabolisable-energy accounting, which §8 lists among the questions that make a qualifying measurement incidental; '24 h energy balance ... in subjects given free access to foods'. Ruled together with coffee/11242488, the same study under its other food"
11676017,chili pepper,claim-directed,claim-directed,False,claim-directed,title = CH-19 Sweet increased body temperature and oxygen consumption in humans
14649970,chili pepper,claim-directed,claim-directed,False,claim-directed,title names metabolic rate alongside glucose response
17151481,chili pepper,incidental,incidental,False,incidental,aim = CH-19 Sweet's effect on body weight/body fat via sympathetic nerve activation; no thermal outcome named in title or aim
17341828,chili pepper,claim-directed,claim-directed,False,claim-directed,title names body temperature; aim explicitly states the purpose is to elucidate the DIT mechanism
20925950,chili pepper,claim-directed,claim-directed,False,claim-directed,title names adaptive and diet-induced thermogenesis
21093467,chili pepper,claim-directed,claim-directed,False,claim-directed,title names thermogenesis and appetite
23844093,chili pepper,claim-directed,claim-directed,False,claim-directed,title/aim name energy expenditure and fat oxidation from capsaicin
31947529,chili pepper,claim-directed,claim-directed,False,claim-directed,"title names Cold Hypersensitivity as one of three studied outcomes, alongside physical activity and body composition"
33063385,chili pepper,claim-directed,claim-directed,False,claim-directed,title/aim = systematic review of capsaicinoids/capsinoids effect on thermogenesis
33789250,chili pepper,claim-directed,claim-directed,False,claim-directed,review naming weight control/weight loss/energy metabolism as its objective (protocol worked example)
38571755,chili pepper,claim-directed,claim-directed,False,claim-directed,aim names energy expenditure and fat oxidation alongside endurance performance
3957721,chili pepper,claim-directed,claim-directed,False,claim-directed,"aim = effect of chilli (and mustard) on metabolic rate, a classic specific-dynamic-action/DIT study"
42186269,chili pepper,claim-directed,claim-directed,False,claim-directed,title/aim = whether a culinary red-pepper dose attenuates adaptive thermogenesis during negative energy balance
8926537,chili pepper,claim-directed,claim-directed,False,claim-directed,"aim = effect of a red-pepper diet on energy metabolism, with energy expenditure the endpoint reported throughout"
16594547,cinnamon,claim-directed,incidental,True,incidental,"condition 1: the framing names a category, formula or constituent class and this food is its carrier or instance — the class §8 leaves for the author; the framing names Kampo formulations prescribed by Sho, and cinnamon appears only as Keishi inside a formula, never as what is given"
31426588,cinnamon,incidental,incidental,False,incidental,aim = clinical effects/phytochemistry/mechanism of a herbal formula on menopausal hot flushes broadly; improved peripheral blood flow is one finding within that broader clinical review
35830848,cinnamon,claim-directed,claim-directed,False,claim-directed,aim names energy metabolism/EE/DIT alongside satiety and food intake
16702322,cocoa,incidental,incidental,False,incidental,"aim = photoprotection against UV-induced erythema and skin condition; blood flow is one of several skin-condition findings, not the stated aim"
17164979,cocoa,claim-directed,claim-directed,False,claim-directed,title/aim = acute effect of flavanol-rich cocoa on dermal microcirculation
34055151,cocoa,claim-directed,claim-directed,False,claim-directed,title = dark chocolate supplementation elevates resting energy expenditure
38150009,cocoa,claim-directed,claim-directed,False,claim-directed,title/aim = cocoa flavanol effect on cold-induced vasodilation
40190744,cocoa,claim-directed,claim-directed,False,claim-directed,title = dark chocolate elevates resting energy expenditure in postmenopausal women
42004823,cocoa,incidental,incidental,False,incidental,"aim = cardiovascular and antioxidant markers across chocolate types; skin blood flow is one of several cardiovascular markers, not the stated aim"
10837840,coffee,incidental,incidental,False,incidental,"aim = caffeine-dose effect on acute physiological responses/mood; skin temperature is one of several physiological measures, no thermal term in title or aim"
11242488,coffee,incidental,claim-directed,True,incidental,"condition 2: the framing is energy-balance or metabolisable-energy accounting, which §8 lists among the questions that make a qualifying measurement incidental; '24 h energy balance ... in subjects given free access to foods'. Ruled together with chili pepper/11242488, the same study under its other food"
17919327,coffee,claim-directed,claim-directed,False,claim-directed,title = acute effects of a functional coffee beverage on resting energy expenditure
18441513,coffee,claim-directed,incidental,True,incidental,"condition 1: the food is held constant across the compared groups and what varies is the subjects or their state, so the food is not the exposure the study is about (the cheese/20613890 worked example, with a group contrast in place of a processing contrast); the contrast is the beta3-adrenergic receptor genotype and caffeine is the fixed challenge"
18500961,coffee,claim-directed,claim-directed,False,claim-directed,title = thermogenic effect from nutritionally enriched coffee consumption
23924724,coffee,claim-directed,claim-directed,False,claim-directed,"aim = effect of chlorogenic acid on energy metabolism, assessed by indirect calorimetry"
2423343,coffee,incidental,incidental,False,incidental,coffee is the constant challenge given in both arms; verapamil pretreatment is what varies -- fails condition 1
24391145,coffee,incidental,incidental,False,incidental,aim = whether taste palatability (6 stimuli incl. coffee) predicts facial circulatory response; coffee is one instance in a palatability study
26856274,coffee,claim-directed,claim-directed,False,claim-directed,title = review of natural stimulant/non-stimulant thermogenic agents including caffeine
27787687,coffee,incidental,claim-directed,True,incidental,"condition 2, per the chicken/41901102-42072392 worked example: a framing that presents the perfusion measure as vascular, endothelial or haemodynamic *function* is not naming a thermal outcome, however much the measurement itself qualifies under §2.3; 'systemic and regional haemodynamic effects'. Ruled together with coffee/7549411, which is the corrected reprint of the same study"
28412986,coffee,claim-directed,claim-directed,False,claim-directed,title/aim name energy metabolism alongside sleep architecture
28675091,coffee,claim-directed,claim-directed,False,claim-directed,title/aim = effect of coffee polyphenols on skin microcirculatory function
29225313,coffee,claim-directed,claim-directed,False,claim-directed,title/aim = coffee polyphenols and the recovery rate of skin temperature after cold stress
29723112,coffee,claim-directed,claim-directed,True,claim-directed,"agreed label confirmed. The abstract is a findings-only bullet list with no aim sentence, which coder 2 flagged unclear-question, but the title — 'Effect of Green Coffee Consumption on Resting Energy Expenditure, Blood Pressure, and Body Temperature' — names the food and two §2.3 outcomes, and §8 counts the title as one of the two places the framing is read from"
31235722,coffee,claim-directed,claim-directed,False,claim-directed,aim = effect of caffeine on brown-adipose-tissue thermogenesis in vitro and in vivo; human arm measures supraclavicular temperature after coffee drinking
32831109,coffee,claim-directed,claim-directed,False,claim-directed,RCT of keto coffee energy drink (caffeine 300 vs 11mg + protein) vs placebo; aim names co-primary effects on metabolism (EE) and muscular performance
38885075,coffee,claim-directed,claim-directed,False,claim-directed,"review of coffee's bioactive compounds (caffeine, paraxanthine) and their impact on metabolism/thermogenesis"
4027129,coffee,claim-directed,incidental,True,incidental,"condition 2, per the chicken/41901102-42072392 worked example: a framing that presents the perfusion measure as vascular, endothelial or haemodynamic *function* is not naming a thermal outcome, however much the measurement itself qualifies under §2.3; 'the cardiovascular effects of regular and decaffeinated coffee', with forearm flow one member of a pressor panel"
4072930,coffee,incidental,incidental,False,incidental,"aim explicitly: whether a pressor (BP) response to coffee occurs during chronic caffeine intake; forearm blood flow surfaces only as a secondary result, not named in aim"
6347498,coffee,incidental,incidental,False,incidental,"aim: hemodynamic and humoral effects of coffee after beta-blockade (catecholamine/pressor mechanism); forearm blood flow named only generically under 'hemodynamic effects', specific value appears only in results"
7189632,coffee,claim-directed,claim-directed,False,claim-directed,thermic effect of caffeinated vs decaffeinated coffee with breakfast; title/aim explicitly TEF
7293955,coffee,claim-directed,claim-directed,False,claim-directed,apparatus-validation study measuring the thermic effect of caffeine (via coffee) on EE; title explicit
7369170,coffee,claim-directed,claim-directed,False,claim-directed,caffeine/coffee effects on metabolic rate and substrate utilization in normal-weight and obese; title/aim explicit
7485480,coffee,claim-directed,claim-directed,False,claim-directed,coffee-induced thermogenesis and substrate oxidation in lean vs obese women; title/aim explicit
7486839,coffee,claim-directed,claim-directed,False,claim-directed,caffeine's effect on EE and body temperatures (skin/rectal); title explicitly names both
7549411,coffee,claim-directed,incidental,True,incidental,"condition 2, per the chicken/41901102-42072392 worked example: a framing that presents the perfusion measure as vascular, endothelial or haemodynamic *function* is not naming a thermal outcome, however much the measurement itself qualifies under §2.3; 'systemic and regional haemodynamic effects'. Ruled together with coffee/27787687, the same study, so the two records cannot take opposite labels"
7951473,coffee,claim-directed,claim-directed,False,claim-directed,relationship between coffee-induced thermogenesis and skin temperature; title/aim explicit
8074059,coffee,claim-directed,claim-directed,False,claim-directed,acute thermogenic effects of nicotine combined with caffeine during activity; title/aim explicit; mixed exposure kept as confounded
9202101,coffee,incidental,incidental,False,incidental,"study of caffeine's effect on parasympathetic/autonomic nerve activity via HRV power-spectral analysis; body temperature explicitly named only as an 'accompanying physiological variable' that was NOT significantly affected, not the study's object"
9399380,coffee,claim-directed,incidental,True,incidental,condition 2: the framing names 'physiological responses and mood' and the study's own subject is the contribution of caffeine versus hot water versus beverage type; skin temperature is one of a panel and the hot-water arm is a serving-temperature contrast
14970837,corn,incidental,incidental,False,incidental,"thermogenic/satiety effects of sugar-only vs mixed-nutrient beverage; corn syrup solids are present in identical 1:1 ratio in BOTH arms, so macronutrient composition is what's varied, not corn"
28758166,corn,incidental,incidental,False,incidental,"coconut-oil-enriched meal vs corn oil thermogenesis trial; title/aim frame coconut oil as the food under test, corn oil is the comparator fat, not the exposure of interest"
29193741,corn,claim-directed,claim-directed,False,claim-directed,"HFCS (corn) versus whole-wheat carbohydrate overfeeding; aim explicitly names EE, symmetric X-versus-Y comparison"
34676680,corn,claim-directed,incidental,True,incidental,"condition 2, per the chicken/41901102-42072392 worked example: a framing that presents the perfusion measure as vascular, endothelial or haemodynamic *function* is not naming a thermal outcome, however much the measurement itself qualifies under §2.3; the stated hypotheses are about cutaneous vasodilatory function with and without ischemia-reperfusion injury"
8843178,corn,claim-directed,claim-directed,False,claim-directed,postprandial thermogenesis after ingestion of different carbohydrates including corn starch/HFCS; title explicit
9868184,corn,claim-directed,incidental,True,incidental,"condition 2: the framing is energy-balance or metabolisable-energy accounting, which §8 lists among the questions that make a qualifying measurement incidental; 'energy available from corn oil is not different than that from beef tallow', a digestibility and metabolisable-energy study"
12037652,cream,incidental,incidental,False,incidental,"OBJECTIVE field explicitly names only postprandial fat oxidation rates (olive oil vs cream); RMR and thermic effect of a meal appear only in the DESIGN/methods field, not the stated objective"
14756910,cream,claim-directed,claim-directed,False,claim-directed,"acute effects of olive oil vs cream on postprandial thermogenesis (DIT); title/aim explicit, symmetric comparison"
34444773,cream,claim-directed,claim-directed,False,claim-directed,"5-way crossover of fat sources (incl. heavy cream) on diet-induced thermogenesis; title explicit, cream is one of the varied arms"
9192194,cream,claim-directed,incidental,True,incidental,"condition 1: the framing names a category, formula or constituent class and this food is its carrier or instance — the class §8 leaves for the author; the arms are glucose, fat and mixed loads, and cream is the carrier of the fat load"
32972591,egg,incidental,incidental,False,incidental,"hydration/albumin RCT for intermittent claudication; egg white is merely one optional dietary source of albumin, never named in title/aim, the framing is entirely about hydration"
3913763,egg,claim-directed,incidental,True,incidental,"condition 1: the food is held constant across the compared groups and what varies is the subjects or their state, so the food is not the exposure the study is about (the cheese/20613890 worked example, with a group contrast in place of a processing contrast); the contrast is lean versus obese and the egg-white meal is identical in both arms"
6476790,egg,claim-directed,claim-directed,False,claim-directed,"diet-induced thermogenesis: thermic effects of single proteins (incl. white egg), carbohydrates and fats; title/aim explicit"
18702944,flaxseed oil,claim-directed,claim-directed,False,claim-directed,"3-oil comparison (olive/sunflower/flaxseed) on postprandial EE and fat oxidation; title/objective explicit, flaxseed oil is one of three varied arms"
22698766,flaxseed oil,claim-directed,claim-directed,False,claim-directed,canola vs flaxseed(-blend) oil diets on EE and substrate utilization; title/objective explicit; blended exposure kept as confounded
34444773,flaxseed oil,claim-directed,claim-directed,False,claim-directed,"5-way crossover of fat sources (incl. flaxseed oil) on diet-induced thermogenesis; title explicit, flaxseed oil is one of the varied arms"
14711458,garlic,claim-directed,claim-directed,False,claim-directed,garlic supplementation increases peripheral (calf) blood flow; title/aim explicit
16868359,garlic,claim-directed,claim-directed,False,claim-directed,garlic's effect on rheologic properties and vasomotor function/blood flow in systemic sclerosis; acral skin temperature explicitly measured; title/aim explicit
1930351,garlic,claim-directed,claim-directed,False,claim-directed,garlic powder's influence on cutaneous microcirculation; title explicit
2071264,garlic,claim-directed,claim-directed,False,claim-directed,"garlic's effect on thrombocyte aggregation, microcirculation (skin), and other cardiovascular risk factors; title explicitly names microcirculation as a co-object"
2083171,garlic,claim-directed,claim-directed,True,claim-directed,"agreed label confirmed on the title alone, no abstract. 'Influence of garlic powder on cutaneous microcirculation' names the food as what is given and skin perfusion as what is measured, in the plain-perfusion form rather than the vascular-function form that class A excludes, and names no rival outcome that could have shared primacy"
36558397,garlic,claim-directed,claim-directed,False,claim-directed,fermented garlic extract's effects on blood flow (incl. peripheral BF); title/aim explicit
36998289,garlic,incidental,incidental,False,incidental,"fortified garlic extract as COVID-19 adjuvant therapy; aim names clinical status/symptom efficacy and safety, body temperature is one secondary clinical/lab parameter reported only in results, not named in aim"
16580033,ginger,claim-directed,claim-directed,False,claim-directed,"review of thermogenesis from spiced foods/herbal drinks (capsaicin, black pepper, ginger, green/black tea, caffeine); ginger is one of the examined spices, review's stated topic is thermogenesis itself"
21789896,ginger,claim-directed,claim-directed,False,claim-directed,hot/cold-attribute foods vs heart-rate-variability and nail-fold microcirculation/skin temperature; aged ginger tea is explicitly the 'hot-attribute' test food; aim explicit
22538118,ginger,claim-directed,claim-directed,False,claim-directed,ginger consumption enhances the thermic effect of food; title explicit
23021155,ginger,claim-directed,claim-directed,False,claim-directed,acute effects of mustard/horseradish/pepper/ginger on postprandial diet-induced thermogenesis; primary aim explicit
25875447,ginger,claim-directed,claim-directed,False,claim-directed,single oral ginger ingestion's effect on human thermoregulatory function and fat oxidation; title/aim explicit
30402121,ginger,claim-directed,claim-directed,False,claim-directed,hyperthermic effect of a ginger beverage on peripheral skin surface temperature in women; title explicit
33487261,ginger,claim-directed,claim-directed,False,claim-directed,acute thermogenic effect of gingerol (ginger's constituent) on the thermic effect of food (energy expenditure); aim explicit
33789250,ginger,claim-directed,claim-directed,False,claim-directed,"review of red pepper/ginger/turmeric effects on energy metabolism, named alongside weight control/weight loss in the objective (matches the protocol's own worked example for the same PMID under chili pepper)"
3570866,ginger,claim-directed,claim-directed,True,claim-directed,"agreed label confirmed on the title alone, no abstract. 'Effect of ginger on metabolic rate' is the Effect-of-X-on-a-thermal-outcome form with no rival outcome named"
36058007,ginger,claim-directed,claim-directed,False,claim-directed,long-term ginger extract consumption's effect on resting energy expenditure in female adults; title/aim explicit
39203851,ginger,claim-directed,claim-directed,False,claim-directed,"ginger extract's impact on ocular/peripheral blood flow and body warmth (VAS), alongside relief of eye fatigue/shoulder stiffness; aim explicitly co-names blood flow as an assessed impact"
41010475,ginger,claim-directed,claim-directed,False,claim-directed,green tea extract + ginger effects on endurance performance AND thermal perception in normothermic/cold environments; title and aim both explicitly name thermal sensation as a co-equal measured outcome
24171039,grape,incidental,incidental,False,incidental,"grape seed procyanidin registry study for pre-/mild hypertension; blood pressure and heart rate are explicitly stated as 'the primary endpoints', microcirculation (laser Doppler) is explicitly described as 'complementing' those primary endpoints"
26492589,grape,incidental,incidental,False,incidental,"CoQ10 + grape seed registry for mild heart failure; aim names generic 'possible benefits' in heart-failure patients, microcirculation surfaces only as one of several reported results (NYHA class, ejection fraction, walking distance, microcirculation, oxidative stress)"
16620293,grapefruit,claim-directed,claim-directed,False,claim-directed,"naringin (grapefruit constituent)'s effect on caffeine pharmacokinetics, resting energy expenditure and cardiovascular haemodynamics; title/aim explicit REE"
30011719,grapefruit,incidental,incidental,False,incidental,"facial-expression/autonomic-nervous-system responses elicited by tasting different juices (grapefruit one of several); skin temperature is one of several ANS proxies for hedonic/emotional response to taste, not the study's object"
10584049,green tea,claim-directed,claim-directed,False,claim-directed,green tea extract's effect on 24-h energy expenditure and fat oxidation; title/objective explicit
13678386,green tea,incidental,claim-directed,True,incidental,"condition 1: the framing names the other food as the exposure and this one as its comparator (§8, multi-arm and multi-food studies); the title and aim name oolong tea as the exposure and green tea as the comparison it is measured against"
14974736,green tea,incidental,incidental,False,incidental,"combo supplement (capsaicin + green tea extract + chicken essence) study whose stated aim is assessing BODY FAT CONTENT; resting energy expenditure appears only as a downstream supporting result ('It was also demonstrated that...'), not named in the stated aim"
15870822,green tea,claim-directed,claim-directed,False,claim-directed,thermogenic effect of a capsaicin+green-tea-extract+tyrosine+calcium combination on 24-h EE; title/objective explicit; mixed exposure kept as confounded
16076989,green tea,incidental,incidental,False,incidental,"green tea-caffeine mixture's effect on WEIGHT MAINTENANCE after weight loss; the stated objective names only weight maintenance, REE/RQ appear only as results"
16176615,green tea,claim-directed,claim-directed,False,claim-directed,green tea + Guarana extract effects on 24-h EE and fat oxidation; title/aim explicit
16351782,green tea,claim-directed,claim-directed,False,claim-directed,"green tea's effect on resting energy expenditure, substrate oxidation AND body weight during a low-energy diet; both title and objective explicitly co-name REE alongside body weight"
16418760,green tea,claim-directed,claim-directed,False,claim-directed,bitter-orange + green-tea-extract + guarana combo's effects on metabolic rate at rest and during exercise; title/objective explicit ('the metabolic rate'); protocol's own §2 discussion of this record confirms metabolic rate is the primary outcome; mixed exposure kept as confounded
16580033,green tea,claim-directed,claim-directed,False,claim-directed,same review as ginger/16580033: thermogenesis from spiced foods/herbal drinks including green tea; review's stated topic is thermogenesis itself
16840650,green tea,incidental,claim-directed,True,claim-directed,"both conditions pass on the naming test: the title 'Obesity and thermogenesis related to the consumption of caffeine, ephedrine, capsaicin, and green tea' names this food as what is consumed and thermogenesis as what is at issue, and the composite-endpoint clause says a thermal aim is not demoted by having company"
17201629,green tea,claim-directed,claim-directed,False,claim-directed,"review specifically and narrowly about green tea extract's thermogenesis-induced weight loss mechanism (EGCG inhibition of COMT); title and content are squarely about the thermogenic mechanism itself, not a broader weight-management survey"
17299107,green tea,claim-directed,claim-directed,False,claim-directed,thermogenic beverage (incl. green tea catechins)'s effect on 24-h energy metabolism; title/objective explicit; mixed exposure kept as confounded
17418559,green tea,claim-directed,claim-directed,False,claim-directed,HUM5007 combination (incl. green tea extract) increases resting metabolic rate; title/aim explicit; mixed exposure kept as confounded
17882140,green tea,claim-directed,claim-directed,False,claim-directed,"caffeine, green tea extract and tyrosine tested individually for thermogenesis and energy intake; title/objective explicit"
17906192,green tea,claim-directed,claim-directed,False,claim-directed,EGCG (green tea's principal catechin)'s effect on thermogenesis and fat oxidation (energy expenditure) in obese men; title explicit
17919327,green tea,claim-directed,claim-directed,False,claim-directed,functional coffee beverage (incl. green tea extract) effects on resting energy expenditure; title/aim explicit; protocol's own §2 discussion confirms REE is the primary outcome here; mixed exposure kept as confounded
18006026,green tea,incidental,incidental,False,incidental,"green tea's effect on WEIGHT REDUCTION in obese Thai subjects; the stated aim names only weight reduction, resting energy expenditure is listed only among measured parameters in methods"
19176733,green tea,incidental,incidental,False,incidental,"green tea-caffeine + high-protein diet effect on BODY WEIGHT MAINTENANCE after weight loss; the stated objective names only weight maintenance, resting energy expenditure appears only as a result"
19445822,green tea,claim-directed,claim-directed,False,claim-directed,"different tea catechins and caffeine tested for effects on acute energy metabolism (EE, fat oxidation); title/objective explicit"
20725062,green tea,claim-directed,claim-directed,False,claim-directed,EGCG supplement's effect on resting metabolism and the thermic effect of feeding; title/aim explicit
21525260,green tea,claim-directed,incidental,True,incidental,"condition 2, per the chicken/41901102-42072392 worked example: a framing that presents the perfusion measure as vascular, endothelial or haemodynamic *function* is not naming a thermal outcome, however much the measurement itself qualifies under §2.3; the framing is photoprotection and skin properties, with microcirculation one of a skin-quality panel"
22254119,green tea,claim-directed,claim-directed,False,claim-directed,"GT vs placebo effect on DIT, factorial with milk-protein dose"
23140132,green tea,claim-directed,claim-directed,False,claim-directed,"GT + resistance training effects on body composition and RMR, RCT"
23237788,green tea,claim-directed,claim-directed,False,claim-directed,EGCG+caffeine (GT extract) effect on non-shivering thermogenesis during cold exposure
23627832,green tea,claim-directed,claim-directed,False,claim-directed,"thermogenic supplement (incl. GT extract) effect on REE, confounded blend"
24903465,green tea,claim-directed,claim-directed,False,claim-directed,GT extract effect on REE and substrate metabolism at rest/exercise
25238062,green tea,claim-directed,claim-directed,False,claim-directed,COMT genotype role in GT's effect on REE and fat oxidation
25733633,green tea,claim-directed,claim-directed,False,claim-directed,EGCG effect on energy metabolism/substrate use in MS patients
25740906,green tea,claim-directed,claim-directed,False,claim-directed,"GT extract effect on fat absorption, REE, body composition, 12wk RCT"
26091183,green tea,claim-directed,claim-directed,False,claim-directed,minireview of GT's effect on energy expenditure
26602570,green tea,incidental,incidental,False,incidental,"review of capsaicin/TRP/BAT thermogenesis; GT catechins mentioned once as aside, not the review's subject"
26714439,green tea,claim-directed,claim-directed,False,claim-directed,fermented GT effect on peripheral skin temperature in cold-hypersensitive subjects
26856274,green tea,claim-directed,incidental,True,incidental,"condition 1: 'A Review of Natural Stimulant and Non-stimulant Thermogenic Agents' names the outcome but not this food, which appears among the agents discussed in the body rather than in the framing"
27883924,green tea,claim-directed,claim-directed,False,claim-directed,systematic review/meta-analysis of EGCG (GT constituent) on EE/fat oxidation
28275131,green tea,claim-directed,claim-directed,False,claim-directed,catechin+caffeine effect on BAT activation and cold-induced thermogenesis
28507012,green tea,claim-directed,claim-directed,False,claim-directed,review of dietary factors (incl. GT) promoting BAT/thermogenesis
29238244,green tea,claim-directed,claim-directed,False,claim-directed,thermogenic supplement (incl. GT extract) effect on EE among other outcomes
30414469,green tea,claim-directed,claim-directed,False,claim-directed,review of dietary polyphenols (incl. GT catechins) and BAT/fat-browning thermogenesis
30687134,green tea,incidental,incidental,False,incidental,minireview of unnamed dietary compounds promoting BAT/WAT browning; GT not named in title or abstract
31694152,green tea,claim-directed,claim-directed,False,claim-directed,mixed flavonoid+caffeine supplement (incl. GT catechins) effect on EE and fat oxidation
32460790,green tea,claim-directed,claim-directed,False,claim-directed,GT-based supplement dose effect on post-exercise brachial artery blood flow
33671139,green tea,claim-directed,claim-directed,False,claim-directed,systematic review of GT catechins on RMR/EE/RQ
35331535,green tea,claim-directed,claim-directed,False,claim-directed,"acute GT infusion effect on energy expenditure, satiety, food intake"
36558368,green tea,claim-directed,claim-directed,False,claim-directed,GT extract RCT with RQ/%FAT/REE stated as primary endpoints
37162193,green tea,claim-directed,claim-directed,False,claim-directed,thermogenic RTD beverage (incl. GT extract) effect on REE
41010475,green tea,claim-directed,claim-directed,False,claim-directed,GT extract + ginger effect on endurance and thermal perception in cold
21504975,honey,claim-directed,claim-directed,False,claim-directed,honey vs sucrose effect on appetite hormones and postmeal thermogenesis
24500154,lettuce,claim-directed,claim-directed,False,claim-directed,"dietary nitrate (lettuce constituent) effect on RMR, crossover RCT"
24045789,lotus root,claim-directed,claim-directed,False,claim-directed,lotus-root-starch late-evening snack effect on fasting REE/energy metabolism in liver failure
