food_key,pmid,sub_label,rationale,batch
corn,34676680,incidental,"condition 2, per the chicken/41901102-42072392 worked example: a framing that presents the perfusion measure as vascular, endothelial or haemodynamic *function* is not naming a thermal outcome, however much the measurement itself qualifies under §2.3; the stated hypotheses are about cutaneous vasodilatory function with and without ischemia-reperfusion injury",2026-08-12 claim-directed pass
green tea,21525260,incidental,"condition 2, per the chicken/41901102-42072392 worked example: a framing that presents the perfusion measure as vascular, endothelial or haemodynamic *function* is not naming a thermal outcome, however much the measurement itself qualifies under §2.3; the framing is photoprotection and skin properties, with microcirculation one of a skin-quality panel",2026-08-12 claim-directed pass
milk,27180680,incidental,"condition 2, per the chicken/41901102-42072392 worked example: a framing that presents the perfusion measure as vascular, endothelial or haemodynamic *function* is not naming a thermal outcome, however much the measurement itself qualifies under §2.3; the aim is nitric-oxide-dependent vasodilation, with local heating used as the assay rather than as the question",2026-08-12 claim-directed pass
potato,34064968,incidental,"condition 2, per the chicken/41901102-42072392 worked example: a framing that presents the perfusion measure as vascular, endothelial or haemodynamic *function* is not naming a thermal outcome, however much the measurement itself qualifies under §2.3; the aim names blood pressure and microcirculation, glossing the latter '(endothelial function)', in pre-hypertensive-to-hypertensive adults",2026-08-12 claim-directed pass
coffee,18441513,incidental,"condition 1: the food is held constant across the compared groups and what varies is the subjects or their state, so the food is not the exposure the study is about (the cheese/20613890 worked example, with a group contrast in place of a processing contrast); the contrast is the beta3-adrenergic receptor genotype and caffeine is the fixed challenge",2026-08-12 claim-directed pass
egg,3913763,incidental,"condition 1: the food is held constant across the compared groups and what varies is the subjects or their state, so the food is not the exposure the study is about (the cheese/20613890 worked example, with a group contrast in place of a processing contrast); the contrast is lean versus obese and the egg-white meal is identical in both arms",2026-08-12 claim-directed pass
milk,936997,incidental,"condition 1: the food is held constant across the compared groups and what varies is the subjects or their state, so the food is not the exposure the study is about (the cheese/20613890 worked example, with a group contrast in place of a processing contrast); the contrast is between infant groups (infants of diabetic mothers, small-for-gestational-age) and feeding is common to all",2026-08-12 claim-directed pass
white sugar,3304593,incidental,"condition 1: the food is held constant across the compared groups and what varies is the subjects or their state, so the food is not the exposure the study is about (the cheese/20613890 worked example, with a group contrast in place of a processing contrast); the contrasts are obese versus nonobese and 30 versus 22 degrees ambient temperature, with the sucrose load fixed. Coder 2 also flagged unclear-question, which the ruling settles",2026-08-12 claim-directed pass
white sugar,8315557,incidental,"condition 1: the food is held constant across the compared groups and what varies is the subjects or their state, so the food is not the exposure the study is about (the cheese/20613890 worked example, with a group contrast in place of a processing contrast); the contrast is obese versus normal-weight children and the sucrose load is fixed",2026-08-12 claim-directed pass
chili pepper,11242488,incidental,"condition 2: the framing is energy-balance or metabolisable-energy accounting, which §8 lists among the questions that make a qualifying measurement incidental; '24 h energy balance ... in subjects given free access to foods'. Ruled together with coffee/11242488, the same study under its other food",2026-08-12 claim-directed pass
coffee,11242488,incidental,"condition 2: the framing is energy-balance or metabolisable-energy accounting, which §8 lists among the questions that make a qualifying measurement incidental; '24 h energy balance ... in subjects given free access to foods'. Ruled together with chili pepper/11242488, the same study under its other food",2026-08-12 claim-directed pass
corn,9868184,incidental,"condition 2: the framing is energy-balance or metabolisable-energy accounting, which §8 lists among the questions that make a qualifying measurement incidental; 'energy available from corn oil is not different than that from beef tallow', a digestibility and metabolisable-energy study",2026-08-12 claim-directed pass
white sugar,10919929,incidental,"condition 2: the framing is energy-balance or metabolisable-energy accounting, which §8 lists among the questions that make a qualifying measurement incidental; 'macronutrient disposal during controlled overfeeding', where the measurement separates energy dissipated from energy stored",2026-08-12 claim-directed pass
white sugar,24787495,incidental,"condition 2: the framing is energy-balance or metabolisable-energy accounting, which §8 lists among the questions that make a qualifying measurement incidental; a 10-week supplementation study of energy intake, appetite and expenditure in overweight subjects, framed on the energy-balance equation",2026-08-12 claim-directed pass
rapeseed oil,29902225,incidental,"condition 2: the aim compares meals rich in saturated versus unsaturated fatty acids on 24-h fat oxidation, and substrate oxidation is not a §2.3 outcome class; diet-induced thermogenesis appears only in the background, and the abstract reports energy expenditure as similar between arms",2026-08-12 claim-directed pass
cinnamon,16594547,incidental,"condition 1: the framing names a category, formula or constituent class and this food is its carrier or instance — the class §8 leaves for the author; the framing names Kampo formulations prescribed by Sho, and cinnamon appears only as Keishi inside a formula, never as what is given",2026-08-12 claim-directed pass
cream,9192194,incidental,"condition 1: the framing names a category, formula or constituent class and this food is its carrier or instance — the class §8 leaves for the author; the arms are glucose, fat and mixed loads, and cream is the carrier of the fat load",2026-08-12 claim-directed pass
mayonnaise,12775122,incidental,"condition 1: the framing names a category, formula or constituent class and this food is its carrier or instance — the class §8 leaves for the author; the framing compares medium- against long-chain triacylglycerols, and mayonnaise is the food the test oil was delivered in",2026-08-12 claim-directed pass
pork,26821042,incidental,"condition 1: the framing names a category, formula or constituent class and this food is its carrier or instance — the class §8 leaves for the author; the framing names dietary protein source and quantity, with pork one half of the omnivorous arm. Ruled together with beef/26821042, on which both coders agreed incidental, so the same study cannot take opposite labels under its two foods",2026-08-12 claim-directed pass
soybean,25653551,incidental,"condition 2: the framing names symptoms caused by blood flow disturbance, of which coldness of the extremities is one of four measured symptoms. Ruled together with natto/25653551, on which both coders agreed incidental",2026-08-12 claim-directed pass
green tea,13678386,incidental,"condition 1: the framing names the other food as the exposure and this one as its comparator (§8, multi-arm and multi-food studies); the title and aim name oolong tea as the exposure and green tea as the comparison it is measured against",2026-08-12 claim-directed pass
green tea,16840650,claim-directed,"both conditions pass on the naming test: the title 'Obesity and thermogenesis related to the consumption of caffeine, ephedrine, capsaicin, and green tea' names this food as what is consumed and thermogenesis as what is at issue, and the composite-endpoint clause says a thermal aim is not demoted by having company",2026-08-12 claim-directed pass
green tea,26856274,incidental,"condition 1: 'A Review of Natural Stimulant and Non-stimulant Thermogenic Agents' names the outcome but not this food, which appears among the agents discussed in the body rather than in the framing",2026-08-12 claim-directed pass
milk,27329516,incidental,"condition 2: the purpose names next-morning running performance, metabolism and hydration status, and resting metabolic rate is named only in the methods; exercise performance is one of the questions §8 lists as making a qualifying measurement incidental",2026-08-12 claim-directed pass
